NAME, Part, Lon, Lat
Bright, 1, -77.91899, 41.2313
Bright, 1, -77.9229, 41.2266
Bright, 1, -77.9305, 41.2266
Bright, 1, -77.93751, 41.22491
Bright, 1, -77.9379, 41.2181
Bright, 1, -77.9349, 41.21272
Bright, 1, -77.9405, 41.20941
Bright, 1, -77.94649, 41.21171
Bright, 1, -77.9523, 41.21511
Bright, 1, -77.95791, 41.2172
Bright, 1, -77.96339, 41.21221
Bright, 1, -77.96868, 41.20811
Bright, 1, -77.9727, 41.20371
Bright, 1, -77.9723, 41.19721
Bright, 1, -77.97389, 41.19032
Bright, 1, -77.97119, 41.17831
Bright, 1, -77.9744, 41.17262
Bright, 1, -77.9811, 41.17131
Bright, 1, -77.9905, 41.16181
Bright, 1, -77.9965, 41.16371
Bright, 1, -77.9997, 41.16281
Bright, 1, -78.00189, 41.1574
Bright, 1, -78.0011, 41.1473
Bright, 1, -78.0062, 41.14311
Bright, 1, -78.01219, 41.14561
Bright, 1, -78.01399, 41.15211
Bright, 1, -78.02041, 41.15261
Bright, 1, -78.0268, 41.14991
Bright, 1, -78.03208, 41.15312
Bright, 1, -78.0381, 41.15351
Bright, 1, -78.06099, 41.17451
Bright, 1, -78.0936, 41.21691
Bright, 1, -78.0888, 41.22381
Bright, 1, -78.0472, 41.2833
Bright, 1, -77.9885, 41.36721
Bright, 1, -77.9892, 41.45442
Bright, 1, -77.9894, 41.47479
Law, 1, -75.83472, 41.4272
Law, 1, -75.83223, 41.4213
Law, 1, -75.83133, 41.41389
Law, 1, -75.83253, 41.403
Law, 1, -75.83182, 41.39709
Law, 1, -75.82822, 41.3922
Law, 1, -75.82293, 41.3891
Law, 1, -75.81741, 41.3867
Law, 1, -75.80523, 41.3847
Law, 1, -75.79952, 41.3828
Law, 1, -75.79462, 41.37781
Law, 1, -75.79043, 41.375
Law, 1, -75.76842, 41.3658
Law, 1, -75.75612, 41.3577
Law, 1, -75.74422, 41.34979
Law, 1, -75.74162, 41.3481
Law, 1, -75.73811, 41.3476
Law, 1, -75.72162, 41.345
Law, 1, -75.68732, 41.33949
Law, 1, -75.68712, 41.3362
Law, 1, -75.68622, 41.3172
Law, 1, -75.69452, 41.3168
Law, 1, -75.69422, 41.31
Law, 1, -75.69061, 41.3037
Law, 1, -75.68962, 41.2877
Law, 1, -75.67922, 41.28819
Law, 1, -75.67842, 41.2719
Law, 1, -75.67803, 41.2644
Law, 1, -75.65543, 41.2585
Law, 1, -75.65042, 41.2572
Law, 1, -75.64913, 41.2086
